feature,gini_importance,perm_importance_mean,perm_importance_std
AP2DC_460,0.0014908079940288647,0.0011035297612641327,0.0007051062762942198
AP2DC_104,0.0014858291391224574,5.03277440442651e-05,0.00017096571121160556
AP2DC_453,0.0014854974610689058,-0.00036995001154692674,0.0002005999268550449
AP2DC_72,0.001463385280599118,0.0024532287560133036,0.0008730109606537053
AP2DC_69,0.0014528263869523178,-0.00016093212656447252,0.0002827992617812882
AP2DC_425,0.0014392792223397969,-5.2149191897510325e-05,0.00039001417198008875
AP2DC_98,0.0014368256982373417,-0.0006282311573957422,0.0004965340285341889
AP2DC_673,0.001429643273764101,-0.00025146649878935443,0.00029511073106797884
AP2DC_464,0.0014233025184514762,0.000103838681379409,0.00028946014380162985
AP2DC_185,0.0014198397110620077,0.00023307479753121864,0.0005033539430098113
AP2DC_394,0.0014001319506290527,0.0004506104785923615,0.0002575233926552901
AP2DC_461,0.001389626064421914,-0.0004386427704501261,0.00042694556780311965
AP2DC_177,0.0013895777085789895,0.00021473705586388947,0.0002580630519147838
AP2DC_764,0.0013734524788444444,-9.911959194242037e-05,0.00014282305737114772
AP2DC_693,0.0013668831289377732,0.001517189519264306,0.0004152694262543284
AP2DC_404,0.0013597684560202623,0.00031508577398848826,0.0003714856346608642
AP2DC_400,0.0013372907826568565,9.571184021804902e-05,0.00015305260655277395
AP2DC_463,0.0013329336170318548,-0.00010679822225916347,0.00020506031667587315
AP2DC_285,0.001320737939058499,0.000350585741611309,0.00016682244001257754
AP2DC_97,0.0013145449557865996,1.9037824224477085e-05,0.0001975128250305965
AP2DC_695,0.001304748834221576,-0.00031248998126532924,0.00019353477237548161
AP2DC_1,0.0012989998347906636,-0.0005947763508971527,0.0001879159689743278
AP2DC_165,0.001288695215030165,0.0006813784975364223,0.00017769935883795682
AP2DC_654,0.0012829544035984004,0.00010862433559747365,0.00019423580772644916
AP2DC_133,0.0012763441970716433,-0.00012734851567531847,0.00016766533214097068
AP2DC_158,0.001269794084765612,-0.0005925332515732906,0.0003600238718249574
AP2DC_488,0.0012655566183090486,0.00023087323264026072,0.00025573917839483124
AP2DC_503,0.00124266364650781,0.0002712536281480604,0.0001709470976094704
AP2DC_619,0.0012416400945910013,0.000153239040432096,0.00048347707916420477
AP2DC_424,0.0012339182740341537,0.00039657942762681974,0.0006509550027726319
AP2DC_591,0.0012336232794957624,-0.00035770442188264305,0.0003126237409178041
AP2DC_545,0.0012323729583674152,-0.0008627715770960998,0.0003003254859531653
AP2DC_757,0.001230090760946505,0.000217162288126016,0.0004178277859462365
AP2DC_714,0.0012247382584938584,0.00020313971320258252,0.00015071556886598318
AP2DC_413,0.0012216309838220835,-0.0006294189711682274,0.0002507512471100871
AP2DC_628,0.0012110923422796115,0.0007457336386414437,0.0003964916702779863
AP2DC_568,0.001209861363243115,4.262960037291208e-05,0.000350538349513351
AP2DC_571,0.0012027658983709384,-0.00038990988224351096,0.00024489210348858367
AP2DC_454,0.0011914897567348517,-0.0002747746546668872,0.0004079482177076067
AP2DC_326,0.0011874533393008476,-0.00019368163913088265,0.0005606950014052718
AP2DC_567,0.0011837358486197246,-0.0001225072893548562,0.0003569551502951378
AP2DC_770,0.001180533484527313,0.000126973359976712,0.0001651136191624371
AP2DC_579,0.0011798522289437196,-0.00023950213423993283,0.0003363563134612398
AP2DC_56,0.0011757878059159967,0.0002533185995406306,0.0002797172459078663
AP2DC_561,0.0011745120019838297,0.0006406194846322987,0.0002811318005472538
AP2DC_620,0.0011699010367101543,0.0004266267192679973,0.00015092604943396683
