molecule_chembl_id,pchembl_value,activity_class
CHEMBL106,4.66,Inactive
CHEMBL350074,7.66,Active
CHEMBL5562416,5.86,Intermediate
CHEMBL1825044,5.3,Intermediate
CHEMBL4162163,5.39,Intermediate
CHEMBL5397563,7.85,Active
CHEMBL5887888,4.84,Inactive
CHEMBL377770,6.06,Intermediate
CHEMBL5402413,9.22,Active
CHEMBL2163641,7.77,Active
CHEMBL493181,4.83,Inactive
CHEMBL442542,6.07,Intermediate
CHEMBL194472,6.89,Active
CHEMBL25523,8.0,Active
CHEMBL3752278,7.24,Active
CHEMBL314351,4.51,Inactive
CHEMBL91363,5.62,Intermediate
CHEMBL1454842,6.1,Intermediate
CHEMBL197576,5.74,Intermediate
CHEMBL3753104,7.3,Active
CHEMBL5394067,7.16,Active
CHEMBL65590,5.3,Intermediate
CHEMBL1083354,5.1,Intermediate
CHEMBL5266867,4.53,Inactive
CHEMBL5274863,4.21,Inactive
CHEMBL304903,6.53,Active
CHEMBL8313,8.33,Active
CHEMBL442373,5.64,Intermediate
CHEMBL63336,5.37,Intermediate
CHEMBL1783176,7.44,Active
CHEMBL5286833,5.21,Intermediate
CHEMBL91992,5.066666666666666,Intermediate
CHEMBL1915403,4.98,Inactive
CHEMBL3422035,6.47,Intermediate
CHEMBL3819184,6.75,Active
CHEMBL2443357,7.16,Active
CHEMBL223369,5.11,Intermediate
CHEMBL1083970,7.0,Active
CHEMBL4227385,9.38,Active
CHEMBL3952032,5.55,Intermediate
CHEMBL5275053,6.27,Intermediate
CHEMBL1171818,5.555,Intermediate
CHEMBL421149,7.37,Active
CHEMBL5266519,5.75,Intermediate
CHEMBL489359,5.91,Intermediate
CHEMBL3084924,4.97,Inactive
CHEMBL5431500,5.12,Intermediate
CHEMBL1171091,5.07,Intermediate
CHEMBL5426251,6.54,Active
CHEMBL4574913,8.04,Active
CHEMBL75267,4.08,Inactive
CHEMBL3752998,7.06,Active
CHEMBL4634777,7.185,Active
CHEMBL1957218,8.5,Active
CHEMBL583076,6.58,Active
CHEMBL5282309,6.6,Active
CHEMBL358214,6.11,Intermediate
CHEMBL189472,5.74,Intermediate
CHEMBL137001,7.96,Active
CHEMBL1172847,5.02,Intermediate
CHEMBL71612,4.48,Inactive
CHEMBL5288485,5.66,Intermediate
CHEMBL5283375,5.92,Intermediate
CHEMBL4098604,5.17,Intermediate
CHEMBL3359953,6.41,Intermediate
CHEMBL4780337,7.22,Active
CHEMBL3589964,4.9,Inactive
CHEMBL3622071,8.38,Active
CHEMBL2336848,7.31,Active
CHEMBL1173259,4.92,Inactive
CHEMBL5275593,6.58,Active
CHEMBL3752359,6.58,Active
CHEMBL1173129,4.66,Inactive
CHEMBL5203413,10.05,Active
CHEMBL454226,4.73,Inactive
CHEMBL3827037,4.92,Inactive
CHEMBL5430986,5.5,Intermediate
CHEMBL3753582,5.3,Intermediate
CHEMBL4563511,7.71,Active
CHEMBL516275,5.67,Intermediate
CHEMBL2112739,7.05,Active
CHEMBL189051,5.62,Intermediate
CHEMBL3752480,6.7,Active
CHEMBL223162,6.58,Active
CHEMBL5396276,5.77,Intermediate
CHEMBL287647,5.96,Intermediate
CHEMBL5270141,7.19,Active
CHEMBL3818720,7.08,Active
CHEMBL1784788,6.36,Intermediate
CHEMBL1784801,8.04,Active
CHEMBL1956179,6.52,Active
CHEMBL74339,9.74,Active
CHEMBL311077,4.42,Inactive
CHEMBL1630264,7.22,Active
CHEMBL425194,4.77,Inactive
CHEMBL349822,6.9625,Active
CHEMBL5281599,4.75,Inactive
CHEMBL3622064,9.6,Active
CHEMBL3421769,5.72,Intermediate
CHEMBL223421,5.13,Intermediate
CHEMBL255108,5.81,Intermediate
CHEMBL572637,6.42,Intermediate
