molecule_chembl_id,CDKGraph_41,CDKGraph_104,CDKGraph_189,CDKGraph_264,CDKGraph_303,CDKGraph_497,CDKGraph_806,CDKGraph_977,CDKGraph_1017
CHEMBL169,0,1,1,1,0,0,0,1,1
CHEMBL169086,0,0,0,1,1,0,0,0,0
CHEMBL169251,0,0,0,1,1,0,0,0,0
CHEMBL169449,0,0,0,1,0,0,0,0,0
CHEMBL169664,0,0,0,1,0,0,0,0,0
CHEMBL172263,1,1,1,1,1,1,1,1,1
CHEMBL1728910,0,0,0,0,0,0,0,0,0
CHEMBL174308,1,1,1,1,1,1,1,1,1
CHEMBL174407,1,1,1,1,1,1,1,1,1
CHEMBL174407,1,1,1,1,1,1,1,1,1
CHEMBL174579,0,0,0,1,1,1,1,0,0
CHEMBL174909,1,1,1,1,1,1,1,1,1
CHEMBL174909,1,1,1,1,1,1,1,1,1
CHEMBL175091,0,0,0,1,1,1,1,0,0
CHEMBL175144,0,0,0,1,1,0,0,0,0
CHEMBL175550,0,0,0,1,1,1,1,0,0
CHEMBL175554,0,0,0,1,1,1,1,0,0
CHEMBL175609,0,0,0,1,1,1,1,0,0
CHEMBL175688,0,0,0,1,1,1,1,0,0
CHEMBL175791,0,0,0,1,1,1,1,0,0
CHEMBL175799,0,0,0,1,1,1,1,0,0
CHEMBL175962,0,0,0,1,1,1,1,0,0
CHEMBL175979,0,0,0,1,0,0,0,0,0
CHEMBL176009,0,0,0,1,1,1,1,0,0
CHEMBL176076,0,0,0,1,1,1,1,0,0
CHEMBL176098,0,0,0,1,0,0,0,0,0
CHEMBL176101,0,0,0,1,1,1,1,0,0
CHEMBL176118,0,0,0,1,1,1,1,0,0
CHEMBL176287,0,0,0,1,1,1,1,0,0
CHEMBL176452,1,1,1,1,1,1,1,1,1
CHEMBL176539,1,1,1,1,1,1,1,1,1
CHEMBL176609,0,0,0,1,1,1,1,0,0
CHEMBL176886,0,0,0,1,1,1,1,0,0
CHEMBL177268,0,0,0,1,1,1,1,0,0
