molecule_chembl_id,SubFPC_0,SubFPC_1,SubFPC_2,SubFPC_3,SubFPC_4,SubFPC_11,SubFPC_13,SubFPC_17,SubFPC_22,SubFPC_48,SubFPC_84,SubFPC_87,SubFPC_132,SubFPC_134,SubFPC_136,SubFPC_168,SubFPC_170,SubFPC_171,SubFPC_176,SubFPC_178,SubFPC_179,SubFPC_180,SubFPC_181,SubFPC_183,SubFPC_210,SubFPC_213,SubFPC_273,SubFPC_274,SubFPC_278,SubFPC_286,SubFPC_287,SubFPC_288,SubFPC_289,SubFPC_294,SubFPC_295,SubFPC_296,SubFPC_297,SubFPC_299,SubFPC_300,SubFPC_301,SubFPC_302,SubFPC_304,SubFPC_306
CHEMBL117,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,1,0,0,0,1,1,0,0,16,1,1,3,0,0,0,5,0,0,0,0,1,1,0,0,15
CHEMBL117,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,1,0,0,0,1,1,0,0,16,1,1,3,0,0,0,5,0,0,0,0,1,1,0,0,15
CHEMBL1170662,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,1,1,5,0,0,0,0,0,4,0,0,14
CHEMBL1170663,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,1,1,7,0,0,0,0,0,5,0,0,14
CHEMBL1170678,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,17,2,0,6,0,0,0,10,2,1,1,0,1,7,0,0,19
CHEMBL1170893,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,17,2,0,4,0,0,0,10,0,0,0,0,1,6,0,0,18
CHEMBL1171091,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,1,1,3,0,0,0,0,0,2,0,0,14
CHEMBL1171628,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,1,1,2,0,0,0,0,0,2,0,0,14
CHEMBL1171680,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,12
CHEMBL1171818,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,12
